Sr.No,"School Code",School,City,Address,"Phone Nos","Principal Name",State,Pincode,"Co-ordinator1 Name","Co-ordinator1 Contact No.","Co-ordinator2 Name","Co-ordinator2 Contact No."
1,5184,"Sishu Griha Montessori and High School",Bangalore,"No.3, Hal III Stage, New Thippasandra, ","080-25213940, 25213941, 25213941","Ms. Sujatha Mohandas",Karnataka,560075,"Ms. Madhulika Chandrakumar",9880387469,,
2,10833,"St. Kabir School, Drive-In New Branch",Ahmedabad,"Opp. Goyal Intercity, Drive-In (New Branch Way), Drive-In Road, ","079-26858695, 9925034673","Mrs. Pragya Pandya",Gujarat,380054,"Jalaja Nanavati",9925043239,,
3,18922,"Sri Kumaran Children^s Home - CBSE",Bangalore,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road, ","080-26080201, 26080202","Mrs. Deepa Sridhar",Karnataka,560062,"Mrs.Chetana Mahadevan",8197818005,"Ms Kavita",9742751100
4,19966,"Padma Seshadri Bala Bhavan Senior Secondary School",Chennai,"15, Lake, 1st Main Road, Nungambakkam,","044-28172459, 28341892","Shyamala Shekhar","Tamil Nadu",600034,"Mini Premkumar",9444515870,,
5,24299,"The East - West School",Bangalore,"No. 1, Arumugam Circle, Basavanagudi, ","080-26574112, 26574113, 26574114, 26574115","Ms.Gayathry B H",Karnataka,560004,"Mrs. Shilpa. M",9620800313,,
6,34289,"B B U L Jain Vidyalaya",Bangalore,"84, Krishnarajendra Road, Shankarapuram, ",080-41554379,"Mrs. S. A. Sridevi",Karnataka,560004,"Mrs. B. R. Shardamba",9880011468,,
7,68757,"Acharya Vidya Kula",Mysore,"Aloka Road, Left Fork, Off. Mysore Madikeri Highway, At 12th KM Stone, ","0821-2402150, 2513950","Mrs. Sarojini B T",Karnataka,571130,"Suchethana B C",9632374123,,
8,159527,"St. Mary^s School (ICSE),  Mazagaon",Mumbai,"Sardar Balwant Singh Dhody Marg, Mazagaon","022-23778264, 23771889, 23712912","Fr. Dr. Francis Anthony Swamy S.J.",Maharashtra,400010,,,,
9,370457,"Sri Kumaran Public School - ICSE",Bangalore,"Survey No. 44 to 50, Mallasandra Village, Uttarahalli, Hobli, Off. Kanakapura Road, ","080-22538105, 65839367, 65839368, 65839370","Ms. Jayasree Ramesh",Karnataka,560062,"Ms. Geetha Venkatesh",9739444882,,
10,416648,"Vibgyor High, Goregaon",Mumbai,"Motilal Nagar-1, Srirang Sabde Marg, Off Link Road, Goregaon (West), ","022-2879 9220, 39577070","Mr. Shim Mathew",Maharashtra,400104,"Mrs. Nisha Nair ",8097770389,,
11,438252,"Jankidevi Public School",Mumbai,"4 Bunglows, Mhada, Andheri West, ","022-26334756, 26369845","Ms Sunita Massey",Maharashtra,400053,"Ms. Pritpal Bilora",9820802473,,
12,484541,"St. Francis Xaviers",Hissar,"8 km Barwala Road, Talawandi Road, Hissar","01662-296795,296056,9813186557","Fr. Lov Dias",Haryana,125001,"Mrs Veerangana",9466116557,,
13,569920,"St. Xaviers School Durgapur",Durgapur,"A.B.L. Township  Burdwan","0343-2555809,92335 16998 ","Fr. Zenith William,S.J","West Bengal",713206,,,,
14,574725,"The Gelivi^s Venkateshwara Vidyalaya",Nandyal,"D. NO : 29/154-C1, Tekke, Kurnool District.","08514-221132, 221141","Mrs. Gelvi Sucharitha","Andhra Pradesh",518501,,,,
15,575163,"Primus Public School",Bangalore,"P.O.Box No.21, Chikkanayakanahalli Village, Off Sarjapur Road, Bangalore","080-25741450,25741452, 7022010930","Anuradha Krishnan",Karnataka,560035,"Mrs.Soumya Ashok",8105189892,,
16,579462,"Wisdom High International School",Nashik,"Rameshwar Nagar, Anandvalli, Gangapur Road, ","0253-2338795, 2338796, 2338797","Mrs. Shalini Kadwe",Maharashtra,422007,"Supriya Mahabal",8308299160,,
17,605862,"Loyola High School",Margao,"P.O. Box No. 79, Near Old Bus Stand, Bh. Police Station","0834-2733401, 8322542324","Fr. Pedro Rodrigues",Goa,403601,"Mrs. Francesca Pereira",9822383889,,
18,615868,"N. E. T. Public School",Bangalore,"# 17, 2nd Main Road, Sri Nijagunara Road, Gavipuram Extn., ",080-65905978,"Ms. Shashikala Banwasi",Karnataka,560019,"Rashmi mam",9844383826,,
19,635736,"Aga Khan School",Mundra,"G E B Road, Mudra, Kutch","02836-222583, 224215","Mr. Girdhar Reddy",Gujarat,370421,"Payal Shah",9726707723,,
20,650967,"Deens Academy -Whitefield",Bangalore,"^Deen Gardens^, ECC Road, Whitefield, ",080-28454464,"Mrs. Shanthi Menon",Karnataka,560066,"Nisha Kumar",9618409555,,
21,672693,"Good Shepherd English Medium School",Nandyal,"NGO^s Colony, Near Ramakrishna PG College, ","08514-243663, 245930, 222694","Mrs. L. T. Jessy Paul","Andhra Pradesh",518502,"Mrs. Renuka",9491592851,,
22,810256,"Sunbeam School, Annapurna",Varanasi,"Opposite Kashi Vidyapeeth, Annapurna Nagar Colony, ","0542-2222130, 2222131","Mrs. Mamta Jaiswal","Uttar Pradesh",221001,"Ms. Geeta Sharma",9721452503,"Ms. Geeta Sharma",: 09721452
