Sr.No,"School Code",School,City,Address,"Phone Nos","Principal Name",State,Pincode,"Co-ordinator1 Name","Co-ordinator1 Contact No.","Co-ordinator2 Name","Co-ordinator2 Contact No."
1,6019,"Padma Seshadri Bala Bhavan Senior Secondary School, T. Nagar",Chennai,"Number 17, Thirumalai Pillai Road, T. Nagar, ","044-28340843, 28341892, 28340197, 28341886","Durga Chandrashekaran","Tamil Nadu",600017,"Mrs. Manju Bose",9840058345,,
2,19872,"Padma Seshadri Bala Bhavan Senior Secondary School, K.K.Nagar",Chennai,"29, Alagirisamy Salai, K. K. Nagar, ","044-23663165, 23664251","Mrs. Geeta Govindrajan","Tamil Nadu",600078,"Mrs. Geetha Govindarajan",0442366425,,
3,61544,"Little Flower School",Guwahati,"Hatigaon, Dispur, ",0361-2261648,"Sister Shelma Kuriokose",Assam,781036,"Ms. Urmila",9435114357,,
4,471730,"Apollo Convent",Bangalore,"320, 5th Cross, 3rd Phase, 5th Block, Banashankari, 2nd Stage, ",080-26698907,"Mrs. Nageena Sultana",Karnataka,560085,"Manjula Rajeev",9844221699,,
5,492912,"Gopalan International School",Bangalore,"Behind SAP Labs, Seetharam Palya, Basavananagar, Hoodi",080-40936034,"Ms. Madhu Narayan",Karnataka,560048,"Mrs.Smitha Binoy",9620537684,,
6,2500618,"Tree House International School",Kalyan,"Behind Amrut Haven, Khadakpada, S. No.1, Godrej Hills Road, Kalyan (West), ","0251-3192219,18","Ms Sushma Sharma",Maharashtra,421301,"Ms Amita Dutta",9167716717,,
7,2519153,"Tree House High School (CBSE)",Vadodara,"After Kalali  Railway Crossing, Near Petrol Pump, Opp Pramukh Swami Hostel, Atladara Main Road, ","0265-2681072,73","Ms. Anjali Mahajan",Gujarat,390012,"Ms Kavita",9998574057,,
8,2544555,"Tree House High School","Virar (West)","Yashwant Nagar, Near Virat Nagar, Virar(W), District : Palgar.","0250-3290757, 2519757,329675","Ms. Shobhana",Maharashtra,401303,,,,
9,2544615,"Tree House High School",Pune,"Survey No 12, Dudhane Nagar, Opp Kakade City, Karve Nagar, ",020-64510054,"Mrs. Sangeeta Rautji",Maharashtra,411052,Rashmi,9423578647,,
10,2864031,"Tree House High School, Sus",Pune,"19 Chandni Chowk Road, Behind Maratha Mandir, Bavdhan","020-60504036 , 9545773388","Sonia Joshi",Maharashtra,411021,"Monika Chabbra",,,
11,3331181,"Tree House High School,Manjri",Pune,"Manjri Greens Phase 11 Amenity Building Manjri Badruk, Manjari Farm",020-60504037,"Ms. Hiral",Maharashtra,412307,"Ms. Hiral",0206050403,,
12,3392240,"Tree House High School, Vasai West","Thane District","village Malonde   Near Vasai court, Vasai West",0250-4653759,"Ms. Sunita Ghosh",Maharashtra,401201,"Ms. Sunita Ghosh",0250465375,,
