Sr.No,"School Code","School Name",City,E3,M3,S3,H3,SS3,E4,M4,S4,H4,SS4,E5,M5,S5,H5,SS5,E6,M6,S6,H6,SS6,E7,M7,S7,H7,SS7,E8,M8,S8,H8,SS8,E9,M9,S9,H9,SS9,E10,M10,S10,H10,SS10
1,12091,"Christian Higher Secondary School",Dimapur,169,169,169,0,0,168,168,168,0,0,162,162,162,0,0,195,195,195,0,0,166,166,166,0,0,195,195,195,0,0,193,193,193,0,0,132,132,132,0,0,0,0,0,0,0
2,12161,"Delhi Public School",Dimapur,15,15,15,0,0,11,11,11,2,0,18,18,18,11,5,19,19,19,5,4,14,14,14,3,6,21,21,21,4,6,14,14,14,0,6,1,1,1,0,1
3,12756,"Delhi Public School",Dhaligaon,20,20,20,0,0,19,19,19,0,0,22,22,22,0,0,21,21,21,0,0,12,12,12,0,0,9,9,9,0,0,7,7,7,0,0,8,8,8,0,0
4,57910,"Delhi Public School",Guwahati,65,65,65,0,0,54,54,54,8,0,53,53,53,13,17,47,47,47,7,14,37,37,37,9,10,28,28,28,1,1,13,13,13,0,1,20,20,20,0,2
5,59751,"Happy Child High School",Guwahati,160,160,160,0,0,163,163,163,0,0,130,130,130,0,0,169,169,169,0,0,155,155,155,0,0,151,151,151,0,0,0,0,0,0,0,0,0,0,0,0
6,208746,"St. Stephen^s School",Guwahati,0,0,0,0,0,62,62,62,0,0,74,74,74,0,0,66,66,66,0,0,53,53,53,0,0,68,68,68,0,0,45,45,45,0,0,59,59,59,0,0
7,261768,"Pilgrim School",Dimapur,54,54,54,0,0,53,53,53,0,0,48,48,48,0,0,56,56,56,0,0,55,55,55,0,0,68,68,68,0,0,88,88,88,0,0,0,0,0,0,0
8,262635,"St. Mary^s Montessori & Higher Secondary School",Dimapur,218,218,218,0,0,192,192,192,0,0,207,207,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,399475,"St. Francis De Sales School-Narengi",Guwahati,153,153,153,0,0,153,153,153,0,0,148,148,148,0,0,150,150,150,0,0,140,140,140,0,0,146,146,146,0,0,124,124,124,0,0,124,124,124,0,0
10,413897,"K.C.Secondary School",Shillong,8,8,8,0,0,8,8,8,0,0,5,5,5,0,0,7,7,7,0,0,15,15,15,0,0,20,20,20,0,0,19,19,19,0,0,24,24,24,0,0
11,435512,"Mezhur Higher Secondary School",Kohima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,574996,"St. Vivekanda English Academy",Guwahati,0,0,0,0,0,0,0,0,0,0,135,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,598546,"Fernwood School",Kohima,64,64,64,0,0,66,66,66,66,0,71,71,71,71,0,81,81,81,81,81,0,0,0,0,0,0,0,0,0,0,73,73,73,0,73,0,0,0,0,0
14,1539490,"Springdale High School",Jorhat,5,172,4,0,0,10,186,4,2,0,0,156,1,1,0,3,168,4,0,0,4,170,5,0,2,5,181,5,0,1,0,0,0,0,0,0,0,0,0,0
15,1737197,"Good Shepherd Public School",Naharlagun,22,22,22,0,0,13,13,13,0,0,25,25,25,0,0,34,34,34,1,0,38,38,38,0,0,52,52,52,3,2,59,59,59,0,1,32,32,32,0,3
16,3242514,"Erudite Academy",Diphu,34,34,34,0,0,34,34,34,0,0,34,34,34,0,0,35,35,35,0,0,35,35,35,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0
17,3268921,"Pragjyotika English School",Titabor,94,94,94,0,0,87,87,87,0,0,90,90,90,0,0,96,96,96,0,0,98,98,98,0,0,82,82,82,0,0,85,85,85,0,0,98,98,98,0,0
18,3354191,"Anderson Higher Secondary School",Nongstoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,0,64,49,49,49,0,49,57,57,57,0,57,32,32,32,0,32
19,3448345,"Ruda Academy",Thoubal,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
